gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx942,80,1,48,2560,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.206281155347824,,0,0.05842690750416034,59.666957754574156
gfx942,80,2,48,2560,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.410031320527196,,0,0.14413943855624478,75.12892871623019
gfx942,80,4,48,2560,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,4.136249888688326,,0,0.23766455761978597,64.46032207317893
gfx942,80,8,48,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,4.569,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.43,62.92
gfx942,80,12,48,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,4.6211,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.64,66.73
gfx942,80,16,48,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,4.2918,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.92,76.71
gfx942,80,24,48,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,4.6469,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,1.27,79.83
gfx942,80,32,48,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,4.2938,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,1.83,96.11
gfx942,80,1,512,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,5.0758,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.52,517.67
gfx942,80,2,512,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,4.9615,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,1.06,530.83
gfx942,80,4,512,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,5.071,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,2.07,521.79
gfx942,80,8,512,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,4.8302,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.34,552.89
gfx942,80,12,512,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,5.3598,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,5.87,502.85
gfx942,80,16,512,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.023,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,6.96,451.56
gfx942,80,24,512,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,5.4338,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,11.58,509.57
gfx942,80,32,512,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.4102,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,13.09,439.62
gfx942,80,1,640,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,5.5343,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.59,593.25
gfx942,80,2,640,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,5.697,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,1.15,577.43
gfx942,80,4,640,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,5.7378,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,2.28,575.55
gfx942,80,8,640,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,5.5325,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.74,601.54
gfx942,80,12,640,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,5.6091,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,7.01,597.89
gfx942,80,24,640,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,5.6102,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,14.02,611.46
gfx942,80,32,640,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.6423,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,15.79,524.16
gfx942,80,1,2560,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10305,0,7.032,opus_gemm_gfx942_wkc_512x16x32x64_1x1_16x16x16_0x0x0,0.0,1.86,1865.39
gfx942,80,2,2560,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10305,0,7.0751,opus_gemm_gfx942_wkc_512x16x32x64_1x1_16x16x16_0x0x0,0.0,3.71,1855.48
gfx942,80,4,2560,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10305,0,7.2652,opus_gemm_gfx942_wkc_512x16x32x64_1x1_16x16x16_0x0x0,0.0,7.22,1809.75
gfx942,80,8,2560,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10305,0,7.3822,opus_gemm_gfx942_wkc_512x16x32x64_1x1_16x16x16_0x0x0,0.0,14.2,1786.61
gfx942,80,12,2560,2560,False,torch.bfloat16,torch.bfloat16,False,False,opus,10305,0,7.9398,opus_gemm_gfx942_wkc_512x16x32x64_1x1_16x16x16_0x0x0,0.0,19.81,1666.3
